University,Program,Co-op(TrueorFalse),Pr1,Pr2,Pr3,Pr4,Pr5,Minaverage,Maxaverage,Extracurrciulars,Budget,Residence(TrueorFalse),X-Coordinate,Y-Coordinate,Competitiveness,Link
YorkUniversity,ComputerEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,90,FALSE,10608.00,TRUE,79.5019,43.7735,3,https://futurestudents.yorku.ca/program/software-engineering,
YorkUniversity,GeomaticEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,90,FALSE,10608.00,TRUE,79.5019,43.7735,3,https://futurestudents.yorku.ca/program/geomatic-engineering,
McMaster,AutomationEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,100,TRUE,7973.10,TRUE,79.92,43.26,8,https://future.mcmaster.ca/programs/bachelor-of-technology/,
McMaster,Biotechnology,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,100,TRUE,7973.10,TRUE,79.92,43.26,8,https://future.mcmaster.ca/programs/bachelor-of-technology/,
McMaster,ChemicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,TRUE,12446.06,TRUE,79.92,43.26,8,https://www.eng.mcmaster.ca/chemeng/programs/degree-options/beng-0,
McMaster,CivilEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,TRUE,12446.06,TRUE,79.92,43.26,8,https://www.eng.mcmaster.ca/civil/programs/degree-options/beng-2,
McMaster,ComputerEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,TRUE,12446.06,TRUE,79.92,43.26,8,https://www.eng.mcmaster.ca/ece/programs/degree-options/beng/computer-engineering,
McMaster,ElectricalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,TRUE,12446.06,TRUE,79.92,43.26,8,https://www.eng.mcmaster.ca/ece/programs/degree-options/beng/electrical-engineering,
McMaster,EngineeringPhysics,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,TRUE,12446.06,TRUE,79.92,43.26,8,https://www.eng.mcmaster.ca/engphys/programs/degree-options/beng-1,
McMaster,MaterialsEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,TRUE,12446.06,TRUE,79.92,43.26,8,https://www.eng.mcmaster.ca/materials/programs/degree-options/beng,
McMaster,MechanicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,TRUE,12446.06,TRUE,79.92,43.26,8,https://www.eng.mcmaster.ca/mech/programs/degree-options/b-eng-mechanical-engineering,
McMaster,Mechatronics,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,TRUE,12446.06,TRUE,79.92,43.26,8,https://www.eng.mcmaster.ca/cas/programs/degree-options/beng/mechatronics,
McMaster,SoftwareEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,TRUE,12446.06,TRUE,79.92,43.26,8,https://www.eng.mcmaster.ca/cas/programs/degree-options/beng/software-engineering,
Queens,ChemicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,FALSE,13160.84,TRUE,76.5,44.22,6,https://chemeng.queensu.ca/,
Queens,CivilEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,FALSE,13160.84,TRUE,76.5,44.22,6,https://civil.queensu.ca/,
Queens,ComputerEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,FALSE,13160.84,TRUE,76.5,44.22,6,https://www.ece.queensu.ca/,
Queens,ElectricalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,FALSE,13160.84,TRUE,76.5,44.22,6,https://www.ece.queensu.ca/,
Queens,EngineeringChemistry,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,87,100,FALSE,13160.84,TRUE,76.5,44.22,6,https://chemeng.queensu.ca/,
